area,sum_label
0,0
1,0
2,0
3,109350
4,2
5,600
6,185
7,250
8,298
9,624
10,354
11,405
12,701
13,442
14,335
15,215
16,153
17,600
18,666
19,274
20,2
21,324
22,718
23,1312
24,891
25,1008
26,84
27,325
28,184
29,127
30,156
31,171
32,109
33,176
34,39
35,262
36,188
37,204
38,124
39,56
40,192
41,49
42,290
43,204
44,208
45,93
46,170
47,61
48,57
49,82
50,29
51,92
52,213
53,339
54,184
55,165
56,332
57,745
58,197
59,79
60,338
61,160
62,330
63,344
64,511
65,509
66,653
67,145
68,0
69,187
70,108
71,52
72,311
73,382
74,144
75,60
76,100
77,126
78,219
79,29
80,2
81,3
82,3
83,9
84,233
85,333
86,254
87,82
88,206
89,39
90,134
91,220
92,471
93,345
94,702
95,548
96,648
97,605
98,932
99,289
100,217
101,221
102,535
103,22
104,27
105,63
106,64
107,96
108,62
109,28
110,46
111,200
112,169
113,104
114,140
115,44
116,193
117,135
118,121
119,94
120,538
121,257
122,186
123,229
124,149
125,502
126,191
127,162
128,316
129,167
130,254
131,188
132,91
133,416
134,7
135,150
136,457
137,88
138,54
139,249
140,225
141,102
142,154
143,59
144,55
145,169
146,132
147,219
148,138
149,507
150,317
151,343
152,411
153,327
154,334
155,398
156,132
157,394
158,102
159,261
160,189
161,170
162,128
163,230
164,64
165,535
166,275
167,234
168,234
169,126
170,149
171,502
172,234
173,235
174,26
175,741
176,188
177,523
178,474
179,422
180,44
181,108
182,826
183,253
184,1877
185,159
186,234
187,388
188,187
189,165
190,133
191,706
192,279
193,24
194,6
195,78
196,337
197,558
198,104
199,270
200,231
201,419
202,429
203,291
204,749
205,404
206,521
207,527
208,570
209,231
210,32
211,23
212,25
213,143
214,179
215,220
216,106
217,114
218,140
219,286
220,182
221,327
222,71
223,426
224,146
225,227
226,142
227,127
228,112
229,43
230,15
231,13
232,81
233,1302
234,802
235,183
236,254
